SIZE 2D_NO 3D_NO 4D_NO 8D_NO 16D_NO 2D_IN 3D_IN 4D_IN 8D_IN 16D_IN 
1 2.0708 2.78491 2.78516 6.85107 12.7733 2.46216 2.78625 2.78577 5.57361 12.9124 
2 3.31091 4.46399 4.47839 8.92175 17.8314 3.78418 4.4635 4.46472 8.92004 21.2583 
4 5.50659 7.44275 9.5437 14.9744 31.7273 5.94897 7.44263 9.54187 14.9337 30.4315 
8 11.3419 12.1774 18.3237 24.3412 49.9078 12.4733 13.39 18.663 24.34 48.6782 
16 22.0117 24.9595 32.6747 45.9733 94.902 30.6603 36.0847 50.9738 50.5754 101.285 
32 60.1398 58.7302 82.3418 93.3191 185.826 56.3835 59.9945 83.3021 98.202 191.708 
64 102.987 130.226 125.672 175.919 366.992 102.873 122.966 125.975 181.515 360.862 
128 242.594 258.676 252.839 368.786 697.954 230.853 275.108 259.16 368.002 776.223 
256 502.034 524.325 531.518 748.48 1451.77 519.417 514.995 529.197 710.84 1754.79 
512 1133.75 1073.86 1087.89 1421.89 3527.31 1031.7 1074.54 1093.3 1522.66 3475.2 
1024 2124.4 2160.66 2114.92 3368.55 8102.66 2105.93 2184.12 3062.15 4403.08 7245.87 
2048 5223.5 5137.12 4928.81 7239.49 14140.2 4445.94 4347.57 4298.2 6522.48 15539.2 
